row_1,row_2,row_3,row_4,solution_count
blue lion;red hippo;blue hippo;yellow camel,yellow hippo;red camel;red lion;green lion,red giraffe;green giraffe;blue camel;green hippo,yellow giraffe;yellow lion;green camel;blue giraffe,0
yellow giraffe;yellow camel;red camel;yellow lion,green giraffe;red giraffe;yellow hippo;green camel,blue hippo;green hippo;red hippo;green lion,red lion;blue lion;blue giraffe;blue camel,141
blue camel;yellow lion;yellow hippo;blue hippo,red giraffe;red hippo;red lion;green camel,yellow camel;blue giraffe;yellow giraffe;green lion,red camel;blue lion;green hippo;green giraffe,431
blue hippo;red hippo;yellow lion;yellow hippo,green lion;green giraffe;red giraffe;blue giraffe,red lion;yellow giraffe;green camel;red camel,blue camel;green hippo;yellow camel;blue lion,24
blue camel;blue hippo;blue giraffe;green lion,red giraffe;blue lion;green camel;red lion,yellow lion;yellow camel;red hippo;green hippo,yellow hippo;red camel;green giraffe;yellow giraffe,0
green giraffe;yellow camel;red lion;red hippo,green lion;green camel;blue hippo;blue camel,yellow giraffe;blue giraffe;green hippo;blue lion,yellow lion;yellow hippo;red camel;red giraffe,160
red hippo;green giraffe;blue lion;red lion,green camel;red camel;green hippo;yellow lion,blue giraffe;blue camel;blue hippo;yellow hippo,red giraffe;yellow camel;green lion;yellow giraffe,44
blue hippo;green lion;red lion;red camel,yellow lion;yellow giraffe;green giraffe;blue camel,red giraffe;yellow camel;blue giraffe;yellow hippo,red hippo;blue lion;green hippo;green camel,0
blue camel;yellow giraffe;blue giraffe;blue hippo,yellow camel;green giraffe;yellow hippo;red hippo,red camel;blue lion;red giraffe;green camel,green hippo;red lion;green lion;yellow lion,0
blue lion;yellow giraffe;green camel;green lion,yellow camel;red hippo;green giraffe;red giraffe,yellow lion;red camel;blue giraffe;red lion,blue hippo;blue camel;yellow hippo;green hippo,98
red lion;red hippo;yellow giraffe;blue camel,green camel;yellow lion;yellow hippo;blue hippo,green hippo;blue giraffe;red giraffe;yellow camel,red camel;blue lion;green giraffe;green lion,2
yellow camel;green giraffe;yellow hippo;red camel,green camel;blue giraffe;red giraffe;green hippo,green lion;yellow lion;blue camel;red hippo,blue lion;red lion;blue hippo;yellow giraffe,24
yellow hippo;blue camel;green giraffe;blue giraffe,yellow giraffe;green lion;red camel;yellow camel,blue lion;green hippo;green camel;red lion,red giraffe;red hippo;yellow lion;blue hippo,0
red lion;yellow giraffe;red hippo;blue camel,yellow hippo;blue giraffe;yellow lion;green lion,blue lion;red camel;green camel;blue hippo,red giraffe;green hippo;green giraffe;yellow camel,4
yellow camel;red giraffe;yellow giraffe;yellow hippo,blue giraffe;blue hippo;green giraffe;blue camel,red hippo;green camel;green hippo;blue lion,red lion;yellow lion;green lion;red camel,3
yellow giraffe;yellow camel;green lion;blue camel,red lion;green camel;green giraffe;yellow lion,green hippo;blue lion;blue hippo;blue giraffe,yellow hippo;red giraffe;red hippo;red camel,18
blue lion;green lion;yellow camel;yellow hippo,yellow lion;blue camel;red camel;green giraffe,red lion;red hippo;yellow giraffe;red giraffe,blue giraffe;green hippo;blue hippo;green camel,56
yellow giraffe;green hippo;yellow hippo;blue camel,green camel;blue lion;red hippo;red giraffe,yellow camel;yellow lion;blue hippo;blue giraffe,red lion;red camel;green giraffe;green lion,76
green camel;red lion;green lion;yellow hippo,green giraffe;yellow lion;red hippo;yellow giraffe,red giraffe;blue camel;green hippo;blue lion,blue giraffe;yellow camel;red camel;blue hippo,6
yellow giraffe;blue lion;red lion;green lion,blue giraffe;green giraffe;red giraffe;blue hippo,yellow camel;green camel;yellow hippo;red hippo,blue camel;yellow lion;red camel;green hippo,121
blue hippo;blue giraffe;yellow lion;blue camel,yellow giraffe;green lion;red camel;red lion,red giraffe;red hippo;yellow hippo;green giraffe,green camel;green hippo;blue lion;yellow camel,16
blue giraffe;red hippo;yellow lion;green camel,red lion;red giraffe;red camel;yellow camel,blue hippo;blue camel;blue lion;green lion,yellow hippo;green giraffe;yellow giraffe;green hippo,15
red hippo;red giraffe;yellow giraffe;blue hippo,blue lion;yellow hippo;green hippo;red camel,green camel;green giraffe;red lion;blue camel,yellow camel;yellow lion;green lion;blue giraffe,3
blue lion;red camel;green hippo;green camel,red lion;yellow camel;red giraffe;red hippo,blue giraffe;green giraffe;green lion;blue camel,yellow giraffe;yellow lion;blue hippo;yellow hippo,65
red lion;red hippo;green giraffe;blue lion,green camel;blue giraffe;green lion;yellow hippo,blue camel;red giraffe;red camel;green hippo,yellow lion;blue hippo;yellow camel;yellow giraffe,4
yellow lion;yellow giraffe;blue giraffe;green camel,blue lion;blue hippo;blue camel;yellow camel,red lion;green lion;yellow hippo;green hippo,red hippo;red giraffe;red camel;green giraffe,610
red camel;blue lion;red giraffe;yellow hippo,green giraffe;green lion;red hippo;blue giraffe,blue camel;yellow camel;red lion;green hippo,yellow lion;green camel;yellow giraffe;blue hippo,16
red camel;green camel;yellow giraffe;green lion,red lion;green giraffe;red hippo;blue hippo,blue camel;green hippo;yellow camel;red giraffe,blue lion;yellow lion;blue giraffe;yellow hippo,0
blue giraffe;green hippo;yellow camel;blue hippo,blue lion;green giraffe;red hippo;yellow giraffe,green camel;blue camel;red lion;yellow hippo,red giraffe;green lion;red camel;yellow lion,86
yellow hippo;red hippo;yellow camel;blue camel,red giraffe;red camel;green hippo;green lion,blue hippo;green camel;red lion;green giraffe,blue giraffe;yellow lion;yellow giraffe;blue lion,7
blue giraffe;green camel;yellow lion;blue camel,red camel;green lion;green hippo;yellow hippo,red giraffe;blue lion;blue hippo;yellow giraffe,red lion;yellow camel;green giraffe;red hippo,17
green hippo;blue camel;blue lion;yellow giraffe,red giraffe;red hippo;yellow lion;green camel,green lion;blue giraffe;yellow hippo;yellow camel,red camel;red lion;green giraffe;blue hippo,160
red lion;green camel;red hippo;yellow lion,red giraffe;blue lion;yellow giraffe;blue giraffe,yellow hippo;yellow camel;blue hippo;green lion,green giraffe;red camel;green hippo;blue camel,2
green camel;red hippo;yellow camel;blue camel,yellow giraffe;red lion;yellow lion;green hippo,blue hippo;blue giraffe;red camel;red giraffe,blue lion;green giraffe;yellow hippo;green lion,0
red camel;yellow lion;blue camel;green lion,blue giraffe;green camel;yellow camel;red giraffe,green giraffe;green hippo;red hippo;blue lion,yellow giraffe;blue hippo;red lion;yellow hippo,0
green lion;red camel;red hippo;blue lion,green hippo;blue hippo;yellow hippo;red giraffe,green camel;green giraffe;yellow lion;red lion,blue camel;blue giraffe;yellow giraffe;yellow camel,177
blue giraffe;green hippo;blue hippo;yellow lion,blue lion;red giraffe;red hippo;yellow hippo,blue camel;yellow giraffe;green lion;green camel,green giraffe;red lion;red camel;yellow camel,359
red giraffe;yellow giraffe;yellow hippo;red camel,green hippo;blue lion;blue camel;yellow lion,green camel;red hippo;blue hippo;green giraffe,yellow camel;blue giraffe;green lion;red lion,20
blue camel;green giraffe;red camel;yellow giraffe,yellow hippo;red hippo;yellow camel;blue giraffe,green hippo;blue lion;green lion;green camel,red giraffe;red lion;yellow lion;blue hippo,2
yellow camel;green giraffe;yellow lion;blue hippo,blue lion;red giraffe;red lion;blue giraffe,yellow hippo;green hippo;yellow giraffe;blue camel,red camel;red hippo;green lion;green camel,1
red giraffe;blue hippo;yellow giraffe;yellow lion,yellow camel;blue giraffe;green camel;green giraffe,yellow hippo;red lion;blue lion;red hippo,blue camel;red camel;green hippo;green lion,14
green lion;blue camel;yellow lion;green hippo,blue lion;green camel;red lion;red camel,red hippo;blue giraffe;red giraffe;blue hippo,green giraffe;yellow hippo;yellow camel;yellow giraffe,0
blue lion;green camel;red camel;blue giraffe,red lion;green giraffe;red hippo;green hippo,red giraffe;yellow hippo;green lion;yellow camel,yellow giraffe;blue hippo;yellow lion;blue camel,14
blue lion;red giraffe;green hippo;yellow camel,blue giraffe;blue camel;red hippo;red camel,yellow lion;red lion;yellow hippo;yellow giraffe,green lion;green camel;green giraffe;blue hippo,78
red giraffe;blue lion;yellow camel;yellow giraffe,blue hippo;red hippo;green hippo;blue giraffe,green lion;red camel;green camel;blue camel,green giraffe;red lion;yellow hippo;yellow lion,80
red giraffe;green hippo;blue giraffe;yellow lion,red hippo;green lion;blue lion;blue hippo,yellow giraffe;green giraffe;red camel;red lion,blue camel;green camel;yellow camel;yellow hippo,104
red hippo;yellow lion;blue giraffe;green camel,green lion;red giraffe;red camel;blue hippo,yellow hippo;yellow camel;green hippo;green giraffe,red lion;yellow giraffe;blue lion;blue camel,91
red lion;yellow lion;green camel;green lion,red camel;red giraffe;blue camel;blue lion,yellow hippo;red hippo;green giraffe;yellow camel,blue hippo;blue giraffe;yellow giraffe;green hippo,59
red giraffe;green giraffe;red hippo;blue hippo,yellow hippo;green camel;green lion;yellow camel,yellow giraffe;red lion;red camel;blue camel,blue lion;blue giraffe;yellow lion;green hippo,20
red camel;green giraffe;yellow hippo;red lion,blue lion;green lion;red hippo;blue camel,yellow giraffe;blue hippo;yellow camel;green camel,red giraffe;blue giraffe;yellow lion;green hippo,18
yellow giraffe;green hippo;green camel;blue giraffe,blue camel;yellow lion;blue hippo;green giraffe,green lion;red giraffe;red hippo;yellow camel,blue lion;yellow hippo;red lion;red camel,7
yellow giraffe;green hippo;red lion;yellow camel,red camel;yellow lion;blue lion;red hippo,blue giraffe;green lion;blue camel;yellow hippo,blue hippo;green camel;green giraffe;red giraffe,5
yellow lion;blue camel;yellow camel;blue hippo,green hippo;yellow hippo;blue lion;red lion,green camel;green giraffe;green lion;red hippo,yellow giraffe;blue giraffe;red camel;red giraffe,130
red giraffe;green hippo;red hippo;blue hippo,green lion;blue lion;green giraffe;yellow camel,yellow hippo;blue camel;blue giraffe;green camel,red camel;yellow giraffe;yellow lion;red lion,20
blue giraffe;red lion;yellow camel;green giraffe,green camel;green lion;red hippo;yellow lion,yellow hippo;blue lion;blue hippo;red camel,green hippo;red giraffe;yellow giraffe;blue camel,0
blue giraffe;green hippo;green lion;green camel,red hippo;blue camel;blue hippo;yellow camel,red camel;blue lion;red giraffe;yellow hippo,yellow lion;green giraffe;red lion;yellow giraffe,0
red lion;blue camel;blue lion;blue giraffe,green lion;yellow camel;red camel;red giraffe,yellow hippo;red hippo;yellow lion;green camel,yellow giraffe;green hippo;blue hippo;green giraffe,67
yellow hippo;yellow giraffe;yellow camel;blue lion,red giraffe;red lion;green giraffe;green hippo,yellow lion;red camel;red hippo;blue giraffe,green camel;green lion;blue camel;blue hippo,55
green giraffe;red camel;red lion;green hippo,green camel;yellow lion;blue lion;green lion,blue camel;yellow giraffe;blue hippo;blue giraffe,yellow camel;red hippo;yellow hippo;red giraffe,43
red hippo;blue camel;red giraffe;yellow camel,blue lion;yellow lion;blue hippo;yellow hippo,red camel;blue giraffe;green giraffe;yellow giraffe,green camel;green lion;red lion;green hippo,49
yellow camel;red giraffe;blue camel;blue hippo,yellow hippo;red lion;red camel;yellow giraffe,green lion;red hippo;blue giraffe;blue lion,yellow lion;green hippo;green camel;green giraffe,347
red hippo;green lion;red camel;blue lion,yellow lion;red giraffe;green camel;blue giraffe,green hippo;blue camel;blue hippo;red lion,yellow giraffe;green giraffe;yellow camel;yellow hippo,13
blue lion;red hippo;blue hippo;green lion,red camel;red lion;blue giraffe;green hippo,yellow camel;green camel;blue camel;yellow hippo,yellow lion;yellow giraffe;green giraffe;red giraffe,98
blue giraffe;green lion;yellow camel;yellow lion,blue lion;green camel;red camel;yellow hippo,yellow giraffe;red hippo;blue hippo;green giraffe,red giraffe;blue camel;red lion;green hippo,150
green camel;yellow camel;yellow lion;blue hippo,red giraffe;blue giraffe;green giraffe;red camel,yellow hippo;yellow giraffe;green lion;red lion,red hippo;blue lion;blue camel;green hippo,81
blue giraffe;green lion;yellow giraffe;yellow camel,blue hippo;green hippo;blue lion;blue camel,red hippo;red giraffe;red camel;green camel,green giraffe;yellow hippo;red lion;yellow lion,210
blue camel;blue lion;green hippo;red camel,yellow giraffe;blue giraffe;red lion;green camel,yellow hippo;yellow lion;yellow camel;red giraffe,green lion;red hippo;green giraffe;blue hippo,0
green hippo;blue hippo;red lion;yellow hippo,yellow giraffe;red giraffe;green giraffe;red hippo,green lion;blue camel;green camel;yellow lion,yellow camel;blue giraffe;blue lion;red camel,35
yellow giraffe;yellow camel;yellow lion;red lion,green hippo;blue camel;blue lion;red camel,green giraffe;red hippo;red giraffe;yellow hippo,blue hippo;green camel;blue giraffe;green lion,2
green giraffe;red camel;yellow giraffe;yellow lion,yellow camel;green hippo;red lion;red giraffe,blue lion;yellow hippo;blue giraffe;red hippo,green lion;green camel;blue hippo;blue camel,10
green camel;red hippo;red giraffe;yellow lion,yellow hippo;green lion;blue giraffe;blue hippo,blue camel;blue lion;red lion;yellow giraffe,red camel;green giraffe;yellow camel;green hippo,0
red camel;green camel;yellow lion;blue giraffe,blue lion;yellow hippo;yellow giraffe;blue camel,green giraffe;red giraffe;red lion;green hippo,green lion;yellow camel;red hippo;blue hippo,35
yellow giraffe;yellow lion;red hippo;blue lion,green hippo;blue hippo;blue camel;blue giraffe,red lion;green camel;red camel;green lion,yellow camel;green giraffe;yellow hippo;red giraffe,1
blue giraffe;green hippo;green lion;red giraffe,blue lion;red lion;yellow camel;yellow lion,yellow hippo;blue camel;red hippo;red camel,green camel;yellow giraffe;green giraffe;blue hippo,0
yellow camel;red hippo;green lion;blue giraffe,blue hippo;green giraffe;green hippo;yellow hippo,yellow lion;blue lion;red camel;yellow giraffe,blue camel;red lion;green camel;red giraffe,77
red hippo;blue hippo;blue lion;yellow hippo,yellow camel;red giraffe;green camel;green hippo,yellow lion;yellow giraffe;red lion;green giraffe,red camel;blue camel;blue giraffe;green lion,286
red camel;blue lion;green hippo;yellow camel,red giraffe;red lion;red hippo;green camel,yellow giraffe;blue hippo;blue giraffe;blue camel,green giraffe;green lion;yellow hippo;yellow lion,103
blue giraffe;yellow giraffe;yellow camel;blue camel,green camel;yellow lion;red giraffe;yellow hippo,red camel;green lion;red lion;green giraffe,blue hippo;blue lion;green hippo;red hippo,28
blue camel;blue hippo;yellow lion;yellow hippo,blue lion;yellow giraffe;green camel;green giraffe,green hippo;yellow camel;red hippo;red giraffe,blue giraffe;red lion;green lion;red camel,27
red giraffe;blue lion;green lion;blue giraffe,red hippo;green camel;green hippo;blue hippo,yellow camel;red lion;yellow giraffe;green giraffe,blue camel;yellow lion;yellow hippo;red camel,4
green camel;yellow giraffe;red lion;red giraffe,yellow camel;green lion;blue camel;blue hippo,red camel;blue giraffe;blue lion;red hippo,green giraffe;yellow lion;yellow hippo;green hippo,243
green camel;yellow camel;red lion;red hippo,red camel;blue giraffe;green lion;blue camel,red giraffe;yellow hippo;blue hippo;green hippo,yellow giraffe;green giraffe;yellow lion;blue lion,115
yellow camel;blue hippo;blue lion;blue camel,green camel;yellow lion;green giraffe;red hippo,red camel;red lion;green hippo;green lion,yellow hippo;red giraffe;blue giraffe;yellow giraffe,3
yellow camel;blue camel;red giraffe;yellow lion,green giraffe;blue giraffe;red hippo;green lion,blue lion;red camel;yellow giraffe;red lion,green hippo;yellow hippo;green camel;blue hippo,14
red giraffe;yellow hippo;green camel;blue lion,blue giraffe;red lion;blue hippo;red hippo,green hippo;yellow giraffe;red camel;green giraffe,blue camel;green lion;yellow camel;yellow lion,0
green giraffe;yellow giraffe;yellow camel;green camel,red giraffe;blue hippo;blue camel;red camel,yellow lion;green lion;blue giraffe;blue lion,red lion;green hippo;red hippo;yellow hippo,376
blue hippo;blue camel;green camel;red hippo,blue giraffe;yellow lion;yellow giraffe;green hippo,red giraffe;red lion;yellow hippo;blue lion,green giraffe;red camel;green lion;yellow camel,6
green camel;blue camel;blue hippo;red lion,blue giraffe;blue lion;red hippo;yellow lion,green giraffe;green lion;yellow giraffe;yellow hippo,red camel;yellow camel;green hippo;red giraffe,191
green lion;yellow camel;red lion;red giraffe,yellow hippo;red camel;green hippo;red hippo,blue giraffe;yellow giraffe;blue hippo;blue lion,green giraffe;blue camel;yellow lion;green camel,21
blue camel;yellow hippo;yellow camel;green hippo,yellow lion;blue hippo;green giraffe;green camel,red lion;blue giraffe;red hippo;yellow giraffe,green lion;red giraffe;blue lion;red camel,26
red giraffe;green camel;yellow hippo;yellow camel,red lion;blue hippo;green hippo;blue giraffe,green lion;green giraffe;red hippo;red camel,yellow lion;yellow giraffe;blue camel;blue lion,2
red giraffe;red hippo;blue camel;yellow camel,yellow hippo;green hippo;yellow lion;blue hippo,green camel;blue lion;green lion;red lion,blue giraffe;yellow giraffe;green giraffe;red camel,1
yellow camel;red lion;blue lion;green camel,yellow giraffe;red giraffe;yellow hippo;blue camel,yellow lion;red hippo;red camel;green hippo,green lion;blue hippo;green giraffe;blue giraffe,55
green hippo;yellow hippo;yellow camel;red lion,green giraffe;blue lion;green lion;yellow giraffe,blue hippo;red camel;blue camel;yellow lion,red giraffe;green camel;blue giraffe;red hippo,4
red lion;yellow lion;green camel;yellow hippo,blue giraffe;red hippo;blue camel;green lion,red camel;yellow giraffe;green giraffe;blue lion,red giraffe;yellow camel;green hippo;blue hippo,87
green hippo;blue hippo;red camel;red lion,yellow hippo;green lion;blue camel;blue giraffe,red hippo;green giraffe;green camel;red giraffe,yellow lion;blue lion;yellow giraffe;yellow camel,299
yellow hippo;red hippo;yellow camel;yellow lion,green camel;yellow giraffe;green giraffe;blue giraffe,blue lion;blue camel;red giraffe;green hippo,red lion;green lion;blue hippo;red camel,0
green camel;green hippo;blue camel;blue giraffe,blue lion;red hippo;red giraffe;blue hippo,yellow lion;red camel;green giraffe;yellow camel,yellow giraffe;green lion;red lion;yellow hippo,28
green camel;blue giraffe;yellow giraffe;green giraffe,red lion;yellow hippo;yellow camel;green lion,blue hippo;red camel;red giraffe;green hippo,blue lion;red hippo;yellow lion;blue camel,78
red giraffe;yellow giraffe;blue hippo;yellow camel,red lion;blue camel;yellow lion;green lion,green hippo;blue lion;green camel;blue giraffe,red hippo;yellow hippo;red camel;green giraffe,23
blue camel;green camel;red lion;red camel,green hippo;blue lion;yellow camel;red giraffe,green lion;green giraffe;yellow lion;blue giraffe,blue hippo;yellow giraffe;red hippo;yellow hippo,18
blue camel;red giraffe;green camel;red lion,green giraffe;yellow hippo;yellow giraffe;yellow lion,blue giraffe;blue hippo;green hippo;red camel,blue lion;green lion;yellow camel;red hippo,34
red hippo;blue lion;green camel;blue camel,green giraffe;blue giraffe;yellow camel;yellow giraffe,red camel;yellow hippo;green hippo;red giraffe,yellow lion;blue hippo;red lion;green lion,2
green camel;red lion;yellow lion;yellow camel,green lion;red camel;green hippo;yellow giraffe,green giraffe;red hippo;yellow hippo;blue hippo,blue camel;red giraffe;blue giraffe;blue lion,133
yellow lion;green camel;red hippo;yellow giraffe,green giraffe;red camel;yellow hippo;red giraffe,yellow camel;green hippo;red lion;blue lion,blue giraffe;blue camel;blue hippo;green lion,6
blue lion;green hippo;green lion;yellow lion,red giraffe;yellow hippo;red camel;red lion,green camel;yellow giraffe;blue giraffe;blue camel,yellow camel;red hippo;blue hippo;green giraffe,0
green lion;green hippo;red giraffe;blue giraffe,red camel;yellow camel;green camel;yellow lion,blue lion;yellow giraffe;yellow hippo;blue camel,green giraffe;red lion;blue hippo;red hippo,5
green lion;green hippo;yellow lion;green camel,blue giraffe;green giraffe;yellow camel;yellow giraffe,red lion;yellow hippo;red camel;blue lion,blue hippo;red giraffe;blue camel;red hippo,0
yellow hippo;yellow lion;yellow giraffe;red giraffe,green giraffe;yellow camel;red lion;blue giraffe,blue camel;blue lion;red camel;green camel,green lion;red hippo;blue hippo;green hippo,3
yellow lion;red hippo;red giraffe;red camel,red lion;green giraffe;blue giraffe;blue camel,yellow hippo;blue hippo;yellow giraffe;green camel,blue lion;yellow camel;green hippo;green lion,192
red lion;green giraffe;yellow lion;green lion,green camel;red giraffe;blue giraffe;yellow camel,yellow giraffe;blue lion;green hippo;blue hippo,yellow hippo;blue camel;red hippo;red camel,0
green giraffe;blue giraffe;blue hippo;red lion,red giraffe;red hippo;red camel;green camel,green hippo;blue lion;green lion;yellow lion,yellow camel;blue camel;yellow giraffe;yellow hippo,73
green lion;yellow hippo;red giraffe;green camel,red lion;blue hippo;yellow lion;blue giraffe,green giraffe;yellow camel;yellow giraffe;green hippo,blue camel;blue lion;red camel;red hippo,0
yellow hippo;blue lion;red giraffe;yellow lion,yellow camel;green hippo;yellow giraffe;red lion,red hippo;blue hippo;blue camel;blue giraffe,green lion;red camel;green giraffe;green camel,0
blue hippo;red lion;yellow lion;red giraffe,red camel;yellow camel;green lion;yellow giraffe,green giraffe;green camel;blue giraffe;blue camel,red hippo;blue lion;green hippo;yellow hippo,2
green lion;blue hippo;red hippo;yellow hippo,yellow camel;green hippo;blue lion;green camel,red giraffe;green giraffe;yellow lion;red camel,yellow giraffe;blue giraffe;blue camel;red lion,12
red lion;blue giraffe;green giraffe;green hippo,yellow camel;yellow lion;red camel;blue lion,green lion;yellow giraffe;yellow hippo;red hippo,blue hippo;red giraffe;green camel;blue camel,0
blue giraffe;red hippo;red lion;green hippo,yellow giraffe;yellow hippo;blue lion;red camel,yellow camel;green camel;green lion;blue camel,red giraffe;yellow lion;green giraffe;blue hippo,74
red camel;green hippo;blue lion;yellow hippo,green lion;green giraffe;blue hippo;yellow camel,blue camel;red giraffe;yellow giraffe;blue giraffe,green camel;yellow lion;red lion;red hippo,69
yellow giraffe;blue giraffe;yellow hippo;green giraffe,yellow camel;green lion;yellow lion;blue camel,green hippo;red giraffe;blue lion;red hippo,green camel;red lion;blue hippo;red camel,0
blue giraffe;green giraffe;yellow hippo;blue hippo,green hippo;red lion;red hippo;red camel,blue lion;green camel;red giraffe;green lion,blue camel;yellow giraffe;yellow lion;yellow camel,12
red hippo;green hippo;yellow camel;red giraffe,yellow hippo;green camel;green giraffe;red lion,blue lion;green lion;blue giraffe;red camel,blue camel;yellow giraffe;yellow lion;blue hippo,0
green giraffe;red camel;yellow giraffe;green camel,red giraffe;yellow lion;blue giraffe;green lion,yellow hippo;blue hippo;red hippo;blue camel,green hippo;yellow camel;red lion;blue lion,30
yellow hippo;blue hippo;red giraffe;blue giraffe,yellow lion;yellow giraffe;green lion;red camel,green giraffe;yellow camel;green hippo;blue camel,blue lion;green camel;red hippo;red lion,24
yellow camel;blue lion;yellow lion;yellow giraffe,green hippo;red lion;green giraffe;green lion,blue hippo;blue camel;green camel;red hippo,red giraffe;blue giraffe;red camel;yellow hippo,7
green giraffe;yellow hippo;yellow giraffe;green camel,yellow camel;red camel;blue giraffe;red lion,yellow lion;blue camel;blue lion;red hippo,green lion;green hippo;blue hippo;red giraffe,196
green giraffe;red hippo;yellow camel;yellow giraffe,blue hippo;yellow hippo;green camel;red giraffe,green hippo;red camel;red lion;yellow lion,blue giraffe;green lion;blue camel;blue lion,117
blue giraffe;blue camel;yellow giraffe;yellow camel,red giraffe;yellow lion;red hippo;green lion,green giraffe;red camel;yellow hippo;green camel,blue hippo;red lion;blue lion;green hippo,25
yellow hippo;green lion;blue camel;yellow giraffe,blue lion;green camel;blue hippo;green hippo,yellow camel;blue giraffe;yellow lion;red camel,red lion;green giraffe;red giraffe;red hippo,0
red camel;green giraffe;red hippo;green camel,blue giraffe;green lion;green hippo;yellow giraffe,red giraffe;blue hippo;yellow hippo;red lion,blue camel;blue lion;yellow camel;yellow lion,31
red hippo;green hippo;yellow giraffe;blue lion,yellow hippo;green giraffe;yellow camel;red giraffe,blue camel;yellow lion;blue hippo;green lion,red lion;blue giraffe;green camel;red camel,0
green lion;blue camel;blue hippo;blue lion,red hippo;red camel;green hippo;green giraffe,red lion;blue giraffe;yellow lion;yellow hippo,red giraffe;yellow giraffe;green camel;yellow camel,23
green camel;green hippo;yellow lion;red lion,blue camel;green lion;yellow giraffe;red hippo,yellow camel;blue hippo;blue lion;red camel,blue giraffe;red giraffe;yellow hippo;green giraffe,0
yellow lion;red hippo;blue hippo;green hippo,red giraffe;red camel;green camel;yellow hippo,blue giraffe;blue lion;red lion;green giraffe,yellow giraffe;blue camel;green lion;yellow camel,313
yellow hippo;red camel;yellow camel;yellow giraffe,blue giraffe;red hippo;blue camel;red giraffe,red lion;green giraffe;blue lion;green camel,blue hippo;yellow lion;green hippo;green lion,5
green giraffe;green hippo;yellow camel;red lion,blue giraffe;green camel;green lion;blue camel,blue lion;red giraffe;red hippo;yellow giraffe,blue hippo;yellow lion;red camel;yellow hippo,66
yellow giraffe;yellow hippo;green hippo;yellow camel,green giraffe;green lion;red hippo;red camel,blue camel;blue lion;yellow lion;blue hippo,red giraffe;red lion;blue giraffe;green camel,5
yellow giraffe;yellow camel;red hippo;red giraffe,green hippo;yellow hippo;blue hippo;red camel,green lion;blue giraffe;blue camel;green giraffe,green camel;red lion;blue lion;yellow lion,32
green hippo;yellow camel;blue giraffe;red giraffe,red lion;yellow giraffe;blue camel;blue lion,green giraffe;green lion;yellow hippo;blue hippo,yellow lion;red camel;red hippo;green camel,8
green camel;green giraffe;blue hippo;blue camel,yellow hippo;blue giraffe;green hippo;yellow giraffe,yellow camel;blue lion;red lion;red camel,red hippo;red giraffe;yellow lion;green lion,4
green giraffe;green lion;red giraffe;yellow camel,yellow hippo;green hippo;yellow giraffe;blue hippo,green camel;blue camel;red hippo;yellow lion,red lion;blue lion;red camel;blue giraffe,0
red giraffe;green lion;red camel;yellow hippo,green camel;yellow lion;blue lion;green hippo,red hippo;blue hippo;blue giraffe;yellow camel,red lion;yellow giraffe;blue camel;green giraffe,1
blue camel;blue hippo;red hippo;blue giraffe,blue lion;green camel;yellow hippo;red lion,green giraffe;green hippo;yellow camel;green lion,yellow lion;red camel;red giraffe;yellow giraffe,6
red giraffe;yellow camel;green lion;blue lion,green giraffe;green camel;red camel;yellow lion,red hippo;yellow giraffe;red lion;blue giraffe,yellow hippo;blue camel;blue hippo;green hippo,195
yellow lion;green lion;red hippo;green giraffe,blue hippo;blue giraffe;green hippo;yellow hippo,blue camel;red giraffe;green camel;yellow giraffe,blue lion;red camel;yellow camel;red lion,46
blue camel;green camel;blue hippo;yellow camel,yellow giraffe;red giraffe;blue lion;red lion,green hippo;red camel;red hippo;yellow hippo,blue giraffe;green lion;green giraffe;yellow lion,31
blue giraffe;green giraffe;yellow giraffe;blue hippo,green hippo;green camel;red camel;red lion,yellow camel;green lion;yellow hippo;red hippo,blue lion;yellow lion;red giraffe;blue camel,5
yellow lion;red lion;green camel;green giraffe,green hippo;red hippo;blue camel;yellow giraffe,yellow hippo;red camel;blue lion;yellow camel,blue hippo;green lion;blue giraffe;red giraffe,394
green giraffe;blue hippo;red hippo;green lion,yellow giraffe;blue giraffe;blue lion;red camel,yellow camel;green camel;yellow lion;red lion,blue camel;green hippo;yellow hippo;red giraffe,418
red giraffe;blue giraffe;blue camel;red camel,red lion;yellow lion;yellow giraffe;red hippo,green lion;green giraffe;yellow hippo;green hippo,yellow camel;blue lion;blue hippo;green camel,170
red giraffe;green camel;blue hippo;blue lion,red lion;blue giraffe;red hippo;red camel,yellow lion;yellow giraffe;green hippo;green giraffe,yellow camel;green lion;blue camel;yellow hippo,0
yellow lion;yellow hippo;green giraffe;red giraffe,blue camel;red camel;green lion;yellow giraffe,red hippo;yellow camel;blue lion;red lion,blue hippo;blue giraffe;green hippo;green camel,5
red giraffe;green hippo;green giraffe;green camel,blue giraffe;blue camel;red camel;green lion,red hippo;yellow giraffe;yellow lion;yellow hippo,blue hippo;yellow camel;red lion;blue lion,330
green hippo;blue hippo;red lion;red giraffe,green giraffe;yellow giraffe;yellow lion;yellow hippo,yellow camel;blue giraffe;red hippo;green lion,blue camel;red camel;green camel;blue lion,19
red lion;yellow hippo;blue giraffe;blue hippo,yellow giraffe;red hippo;red camel;green camel,green lion;green giraffe;yellow lion;red giraffe,blue lion;yellow camel;blue camel;green hippo,65
